director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Family Comedy,cheaper by the dozen,Gabrielle Union Zach Braff Erika Christensen Gail Lerner Family Comedy
Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Thriller Crime Drama,windfall,Lily Collins Jesse Plemons Jason Segel Charlie McDowell Thriller Crime Drama
Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Horror Mystery Thriller,x,Mia Goth Jenna Ortega Martin Henderson Ti West Horror Mystery Thriller
Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee,Horror Mystery,umma,Sandra Oh Fivel Stewart MeeWha Alana Lee Iris K. Shim Horror Mystery
Krystin Ver Linden,Keke Palmer,Common,Gaius Charles,Thriller Drama,alice,Keke Palmer Common Gaius Charles Krystin Ver Linden Thriller Drama
Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Horror Thriller Drama Mystery,master,Regina Hall Zoe Renee Amber Gray Mariama Diallo Horror Thriller Drama Mystery
Peyfa,Bella Thorne,Melissa Leo,Roma Maffia,Thriller,measure of revenge,Bella Thorne Melissa Leo Roma Maffia Peyfa Thriller
"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Sophie Okonedo,Thriller Adventure Drama,infinite storm,"Naomi Watts Billy Howle Sophie Okonedo Małgorzata Szumowska, Michał Englert Thriller Adventure Drama"
Roshan Sethi,Karan Soni,Geraldine Viswanathan,Mark Duplass,Romance Comedy,7 days,Karan Soni Geraldine Viswanathan Mark Duplass Roshan Sethi Romance Comedy
Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding,Comedy Romance Science Fiction,moonshot,Cole Sprouse Lana Condor Mason Gooding Chris Winterbauer Comedy Romance Science Fiction
Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,Action Science Fiction Fantasy,morbius,Jared Leto Matt Smith Adria Arjona Daniel Espinosa Action Science Fiction Fantasy
Judd Apatow,Karen Gillan,Iris Apatow,Fred Armisen,Comedy,the bubble,Karen Gillan Iris Apatow Fred Armisen Judd Apatow Comedy
Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Action Adventure Thriller,the contractor,Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Action Adventure Thriller
Tim Federle,Rueby Wood,Joshua Bassett,Aria Brooks,Music Family Comedy,better nate than ever,Rueby Wood Joshua Bassett Aria Brooks Tim Federle Music Family Comedy
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Adventure Family Comedy,sonic the hedgehog 2,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Adventure Family Comedy
Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Thriller Action,ambulance,Jake Gyllenhaal Yahya Abdul-Mateen II Eiza González Michael Bay Thriller Action
Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne,Thriller Action,all the old knives,Chris Pine Thandiwe Newton Laurence Fishburne Janus Metz Pedersen Thriller Action
Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith,Comedy Drama Music,metal lords,Jaeden Martell Isis Hainsworth Adrian Greensmith Peter Sollett Comedy Drama Music
Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,Drama,father stu,Mark Wahlberg Mel Gibson Jacki Weaver Rosalind Ross Drama
David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Fantasy Adventure Family,fantastic beasts: the secrets of dumbledore,Eddie Redmayne Jude Law Ezra Miller David Yates Fantasy Adventure Family
Riley Stearns,Karen Gillan,Beulah Koale,Theo James,Science Fiction Comedy,dual,Karen Gillan Beulah Koale Theo James Riley Stearns Science Fiction Comedy
Toby Meakins,Asa Butterfield,Iola Evans,Eddie Marsan,Horror Thriller Science Fiction,choose or die,Asa Butterfield Iola Evans Eddie Marsan Toby Meakins Horror Thriller Science Fiction
Nick Lyon,Keesha Sharp,Jamie Bamber,Lydia Hearst,Thriller Horror Mystery,titanic 666,Keesha Sharp Jamie Bamber Lydia Hearst Nick Lyon Thriller Horror Mystery
Pierre Perifel,Sam Rockwell,Marc Maron,Craig Robinson,Animation Action Adventure Crime Comedy Family,the bad guys,Sam Rockwell Marc Maron Craig Robinson Pierre Perifel Animation Action Adventure Crime Comedy Family
Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang,Action Adventure Fantasy,the northman,Alexander Skarsgård Nicole Kidman Claes Bang Robert Eggers Action Adventure Fantasy
Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan,Action Comedy Crime,the unbearable weight of massive talent,Nicolas Cage Pedro Pascal Sharon Horgan Tom Gormican Action Comedy Crime
Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen,History Action Drama,the survivor,Ben Foster Vicky Krieps Billy Magnussen Barry Levinson History Action Drama
Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci,Action Thriller Crime,memory,Liam Neeson Guy Pearce Monica Bellucci Martin Campbell Action Thriller Crime
Sammi Cohen,Rowan Blanchard,Auliʻi Cravalho,Isabella Ferreira,Comedy Romance,crush,Rowan Blanchard Auliʻi Cravalho Isabella Ferreira Sammi Cohen Comedy Romance
Josh Sternfeld,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress: sniper's eye,Jesse Metcalfe Bruce Willis Chad Michael Murray Josh Sternfeld Action Thriller Crime
Michael D. Olmos,Charlie Clark,Kuno Becker,Marko Zaror,Action Fantasy Comedy,green ghost and the masters of the stone,Charlie Clark Kuno Becker Marko Zaror Michael D. Olmos Action Fantasy Comedy
Sean O'Reilly,Bruce Willis,Michael Rooker,unknown,Science Fiction Action Thriller Adventure,corrective measures,Bruce Willis Michael Rooker unknown Sean O'Reilly Science Fiction Action Thriller Adventure
Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Fantasy Action Adventure,doctor strange in the multiverse of madness,Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Sam Raimi Fantasy Action Adventure
Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,Romance Drama,along for the ride,Emma Pasarow Belmont Cameli Kate Bosworth Sofia Alvarez Romance Drama
Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner,Animation Family Comedy Adventure,marmaduke,Pete Davidson J. K. Simmons David Koechner Mark A.Z. Dippé Animation Family Comedy Adventure
Emerson Moore,Jordan Claire Robbins,Theo Rossi,Tahirah Sharif,Thriller Horror,escape the field,Jordan Claire Robbins Theo Rossi Tahirah Sharif Emerson Moore Thriller Horror
John Madden,Colin Firth,Matthew Macfadyen,Kelly Macdonald,War History Drama,operation mincemeat,Colin Firth Matthew Macfadyen Kelly Macdonald John Madden War History Drama
Alex Hardcastle,Rebel Wilson,Sam Richardson,Zoë Chao,Comedy,senior year,Rebel Wilson Sam Richardson Zoë Chao Alex Hardcastle Comedy
Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Horror Thriller Science Fiction,firestarter,Zac Efron Ryan Kiera Armstrong Sydney Lemmon Keith Thomas Horror Thriller Science Fiction
Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,John Salley,Music Comedy Family,sneakerella,Chosen Jacobs Lexi Underwood John Salley Elizabeth Allen Rosenbaum Music Comedy Family
Jerrod Carmichael,Jerrod Carmichael,Christopher Abbott,Tiffany Haddish,Comedy Drama,on the count of three,Jerrod Carmichael Christopher Abbott Tiffany Haddish Jerrod Carmichael Comedy Drama
Chadd Harbold,Ashley Benson,Shiloh Fernandez,Logan Miller,Thriller Drama,private property,Ashley Benson Shiloh Fernandez Logan Miller Chadd Harbold Thriller Drama
Brian Cates,Tommy Woodward,Eddie James,Leigh-Allyn Baker,Comedy Family,family camp,Tommy Woodward Eddie James Leigh-Allyn Baker Brian Cates Comedy Family
Jared Cohn,Clive Standen,Theo Rossi,Mike Tyson,Action,vendetta,Clive Standen Theo Rossi Mike Tyson Jared Cohn Action
Simon Curtis,Hugh Bonneville,Elizabeth McGovern,Maggie Smith,Drama Romance,downton abbey: a new era,Hugh Bonneville Elizabeth McGovern Maggie Smith Simon Curtis Drama Romance
Akiva Schaffer,John Mulaney,Andy Samberg,Will Arnett,Animation Family Comedy Adventure Mystery,chip 'n dale: rescue rangers,John Mulaney Andy Samberg Will Arnett Akiva Schaffer Animation Family Comedy Adventure Mystery
Richard Wong,Eugenio Derbez,Samara Weaving,unknown,Comedy Romance,the valet,Eugenio Derbez Samara Weaving unknown Richard Wong Comedy Romance
Carey Williams,RJ Cyler,Sabrina Carpenter,unknown,Comedy Drama Thriller,emergency,RJ Cyler Sabrina Carpenter unknown Carey Williams Comedy Drama Thriller
Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly,Action Drama,top gun: maverick,Tom Cruise Miles Teller Jennifer Connelly Joseph Kosinski Action Drama
"Loren Bouchard, Bernard Derriman",H. Jon Benjamin,Dan Mintz,Eugene Mirman,Animation Adventure Comedy,the bob's burgers movie,"H. Jon Benjamin Dan Mintz Eugene Mirman Loren Bouchard, Bernard Derriman Animation Adventure Comedy"
Rick Dugdale,Anthony Hopkins,Chris Brochu,Aleks Paunovic,Science Fiction Thriller,zero contact,Anthony Hopkins Chris Brochu Aleks Paunovic Rick Dugdale Science Fiction Thriller
Jonas Carpignano,Swamy Rotolo,Claudio Rotolo,Carmela Fumo,Drama,a chiara,Swamy Rotolo Claudio Rotolo Carmela Fumo Jonas Carpignano Drama
Trey Parker,Trey Parker,Matt Stone,April Stewart,Animation Comedy,south park the streaming wars,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy
Julia Hart,Elijah Richardson,Grace VanderWaal,Tyrel Jackson Williams,Comedy Romance Music,hollywood stargirl,Elijah Richardson Grace VanderWaal Tyrel Jackson Williams Julia Hart Comedy Romance Music
David Cronenberg,Viggo Mortensen,Léa Seydoux,Kristen Stewart,Horror Science Fiction,crimes of the future,Viggo Mortensen Léa Seydoux Kristen Stewart David Cronenberg Horror Science Fiction
Terence Davies,Jack Lowden,Peter Capaldi,Simon Russell Beale,Drama History War,benediction,Jack Lowden Peter Capaldi Simon Russell Beale Terence Davies Drama History War
Matthew Reilly,Elsa Pataky,Luke Bracey,unknown,Action Thriller Adventure,interceptor,Elsa Pataky Luke Bracey unknown Matthew Reilly Action Thriller Adventure
Andrew Ahn,Joel Kim Booster,Bowen Yang,Conrad Ricamora,Comedy Romance,fire island,Joel Kim Booster Bowen Yang Conrad Ricamora Andrew Ahn Comedy Romance
Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman,Mystery Thriller Horror,watcher,Maika Monroe Karl Glusman Burn Gorman Chloe Okuno Mystery Thriller Horror
Rob Savage,Annie Hardy,unknown,unknown,Horror Thriller Comedy,dashcam,Annie Hardy unknown unknown Rob Savage Horror Thriller Comedy
Jesse V. Johnson,Michael Rooker,Bruce Willis,Olga Kurylenko,Action Crime Thriller,white elephant,Michael Rooker Bruce Willis Olga Kurylenko Jesse V. Johnson Action Crime Thriller
Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,Drama Comedy,hustle,Adam Sandler Queen Latifah Ben Foster Jeremiah Zagar Drama Comedy
Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Adventure Action Science Fiction,jurassic world dominion,Chris Pratt Bryce Dallas Howard Laura Dern Colin Trevorrow Adventure Action Science Fiction
Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona,Romance Comedy,father of the bride,Andy García Gloria Estefan Adria Arjona Gaz Alazraki Romance Comedy
Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,Animation Action Adventure Family Science Fiction,lightyear,Chris Evans Keke Palmer Peter Sohn Angus MacLane Animation Action Adventure Family Science Fiction
Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett,Science Fiction Thriller,spiderhead,Chris Hemsworth Miles Teller Jurnee Smollett Joseph Kosinski Science Fiction Thriller
David Frankel,Bryan Cranston,Annette Bening,Rainn Wilson,Comedy Drama,jerry & marge go large,Bryan Cranston Annette Bening Rainn Wilson David Frankel Comedy Drama
Cooper Raiff,Cooper Raiff,Dakota Johnson,Raúl Castillo,Comedy Drama Romance,cha cha real smooth,Cooper Raiff Dakota Johnson Raúl Castillo Cooper Raiff Comedy Drama Romance
Sonja O'Hara,Shane West,Sarah Hay,Bruce Dern,Horror Thriller,mid-century,Shane West Sarah Hay Bruce Dern Sonja O'Hara Horror Thriller
Spencer Squire,Emma Roberts,John Gallagher Jr.,Michael Shannon,Horror Mystery Thriller,abandoned,Emma Roberts John Gallagher Jr. Michael Shannon Spencer Squire Horror Mystery Thriller
Mike Judge,Mike Judge,Gary Cole,Chris Diamantopoulos,Animation Comedy Science Fiction,beavis and butt-head do the universe,Mike Judge Gary Cole Chris Diamantopoulos Mike Judge Animation Comedy Science Fiction
Baz Luhrmann,Austin Butler,Tom Hanks,Olivia DeJonge,Drama Music History,elvis,Austin Butler Tom Hanks Olivia DeJonge Baz Luhrmann Drama Music History
Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Horror Thriller,the black phone,Ethan Hawke Mason Thames Madeleine McGraw Scott Derrickson Horror Thriller
Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Action Adventure Comedy,the man from toronto,Kevin Hart Woody Harrelson Kaley Cuoco Patrick Hughes Action Adventure Comedy
Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris,Animation Adventure Family Fantasy,the sea beast,Karl Urban Zaris-Angel Hator Jared Harris Chris Williams Animation Adventure Family Fantasy
Dean Fleischer-Camp,Jenny Slate,Rosa Salazar,Thomas Mann,Animation Comedy Family Drama Adventure,marcel the shell with shoes on,Jenny Slate Rosa Salazar Thomas Mann Dean Fleischer-Camp Animation Comedy Family Drama Adventure
Akin Omotoso,Uche Agada,Ral Agada,Jaden Osimuwa,Drama,rise,Uche Agada Ral Agada Jaden Osimuwa Akin Omotoso Drama
Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano,Music Romance Fantasy Drama Science Fiction,press play,Clara Rugaard Lewis Pullman Lyrica Okano Greg Björkman Music Romance Fantasy Drama Science Fiction
Andrew Dosunmu,Gracie Marie Bradley,Niecy Nash,Aleyse Shannon,Romance Drama Music,beauty,Gracie Marie Bradley Niecy Nash Aleyse Shannon Andrew Dosunmu Romance Drama Music
Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh,Animation Comedy Family,minions: the rise of gru,Steve Carell Taraji P. Henson Michelle Yeoh Kyle Balda Animation Comedy Family
John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Matt Smith,Drama,the forgiven,Ralph Fiennes Jessica Chastain Matt Smith John Michael McDonagh Drama
Emma Holly Jones,Freida Pinto,Sope Dirisu,Oliver Jackson-Cohen,Comedy Drama Romance,mr. malcolm's list,Freida Pinto Sope Dirisu Oliver Jackson-Cohen Emma Holly Jones Comedy Drama Romance
Le-Van Kiet,Joey King,Dominic Cooper,Olga Kurylenko,Action Fantasy,the princess,Joey King Dominic Cooper Olga Kurylenko Le-Van Kiet Action Fantasy
James Cullen Bressack,Kevin Dillon,Mel Gibson,Shannen Doherty,Thriller,hot seat,Kevin Dillon Mel Gibson Shannen Doherty James Cullen Bressack Thriller
Michael Lewen,Talia Ryder,Jordan Fisher,Ayo Edebiri,Romance Drama,"hello, goodbye, and everything in between",Talia Ryder Jordan Fisher Ayo Edebiri Michael Lewen Romance Drama
Taika Waititi,Chris Hemsworth,Christian Bale,Tessa Thompson,Fantasy Action Comedy,thor: love and thunder,Chris Hemsworth Christian Bale Tessa Thompson Taika Waititi Fantasy Action Comedy
Trey Parker,Trey Parker,Matt Stone,April Stewart,Animation Comedy,south park the streaming wars part 2,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy
"Anthony Russo, Joe Russo",Ryan Gosling,Chris Evans,Ana de Armas,Action Thriller,the gray man,"Ryan Gosling Chris Evans Ana de Armas Anthony Russo, Joe Russo Action Thriller"
Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,Mystery Drama Thriller,where the crawdads sing,Daisy Edgar-Jones Taylor John Smith Harris Dickinson Olivia Newman Mystery Drama Thriller
"Rob Minkoff, Mark Koetsier",Michael Cera,Ricky Gervais,Mel Brooks,Animation Action Adventure Comedy Family Western,paws of fury: the legend of hank,"Michael Cera Ricky Gervais Mel Brooks Rob Minkoff, Mark Koetsier Animation Action Adventure Comedy Family Western"
Carrie Cracknell,Dakota Johnson,Cosmo Jarvis,Nikki Amuka-Bird,Romance Drama Comedy,persuasion,Dakota Johnson Cosmo Jarvis Nikki Amuka-Bird Carrie Cracknell Romance Drama Comedy
Eli Horowitz,Winona Ryder,Dermot Mulroney,John Gallagher Jr.,Thriller Mystery Drama,gone in the night,Winona Ryder Dermot Mulroney John Gallagher Jr. Eli Horowitz Thriller Mystery Drama
Kyle Newman,Paris Berelc,Taylor Zakhar Perez,Hari Nef,Comedy,1up,Paris Berelc Taylor Zakhar Perez Hari Nef Kyle Newman Comedy
Mike Burns,Ashley Greene,Bruce Willis,unknown,Thriller,wrong place,Ashley Greene Bruce Willis unknown Mike Burns Thriller
Hannah Marks,John Cho,Mia Isaac,unknown,Drama,don't make me go,John Cho Mia Isaac unknown Hannah Marks Drama
Jacob Aaron Estes,Iris Serena Estes,Lucas Steel Estes,unknown,Horror,he's watching,Iris Serena Estes Lucas Steel Estes unknown Jacob Aaron Estes Horror
Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun,Horror Mystery Science Fiction,nope,Daniel Kaluuya Keke Palmer Steven Yeun Jordan Peele Horror Mystery Science Fiction
Billy Porter,Eva Reign,Abubakr Ali,Renée Elise Goldsberry,Romance Comedy Drama,anything's possible,Eva Reign Abubakr Ali Renée Elise Goldsberry Billy Porter Romance Comedy Drama
Katie Holmes,Katie Holmes,Jim Sturgess,Derek Luke,Romance Drama,alone together,Katie Holmes Jim Sturgess Derek Luke Katie Holmes Romance Drama
Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,Animation Action Family Comedy Science Fiction,dc league of super-pets,Dwayne Johnson Kevin Hart Kate McKinnon Jared Stern Animation Action Family Comedy Science Fiction
Ron Howard,Viggo Mortensen,Colin Farrell,Joel Edgerton,Drama Thriller Action Adventure,thirteen lives,Viggo Mortensen Colin Farrell Joel Edgerton Ron Howard Drama Thriller Action Adventure
B. J. Novak,B. J. Novak,Boyd Holbrook,Dove Cameron,Thriller Mystery Comedy,vengeance,B. J. Novak Boyd Holbrook Dove Cameron B. J. Novak Thriller Mystery Comedy
Lena Dunham,Kristine Froseth,Jon Bernthal,Luka Sabbat,Comedy,sharp stick,Kristine Froseth Jon Bernthal Luka Sabbat Lena Dunham Comedy
Quinn Shephard,Zoey Deutch,Mia Isaac,Nadia Alexander,Comedy Drama,not okay,Zoey Deutch Mia Isaac Nadia Alexander Quinn Shephard Comedy Drama
Anna Gutto,Juliette Binoche,Frank Grillo,Hala Finley,Thriller Crime Drama,paradise highway,Juliette Binoche Frank Grillo Hala Finley Anna Gutto Thriller Crime Drama
Andrew Semans,Rebecca Hall,Grace Kaufman,Michael Esper,Thriller Mystery Horror Drama,resurrection,Rebecca Hall Grace Kaufman Michael Esper Andrew Semans Thriller Mystery Horror Drama
Max Walker-Silverman,Dale Dickey,Wes Studi,unknown,Drama Romance,a love song,Dale Dickey Wes Studi unknown Max Walker-Silverman Drama Romance
Oran Zegman,Angourie Rice,Gaten Matarazzo,Christopher Mintz-Plasse,Comedy,honor society,Angourie Rice Gaten Matarazzo Christopher Mintz-Plasse Oran Zegman Comedy
Spider One,John Ennis,Bryce Johnson,Edward Hong,Horror,allegoria,John Ennis Bryce Johnson Edward Hong Spider One Horror
David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Action Comedy Thriller,bullet train,Brad Pitt Joey King Aaron Taylor-Johnson David Leitch Action Comedy Thriller
Peggy Holmes,Eva Noblezada,Simon Pegg,Jane Fonda,Animation Adventure Comedy Fantasy,luck,Eva Noblezada Simon Pegg Jane Fonda Peggy Holmes Animation Adventure Comedy Fantasy
Dan Trachtenberg,Amber Midthunder,Dakota Beavers,Michelle Thrush,Thriller Action Science Fiction,prey,Amber Midthunder Dakota Beavers Michelle Thrush Dan Trachtenberg Thriller Action Science Fiction
Jay Chandrasekhar,Jo Koy,Jimmy O. Yang,Tia Carrere,Comedy,easter sunday,Jo Koy Jimmy O. Yang Tia Carrere Jay Chandrasekhar Comedy
"Ant Ward, Andy Suriano",Ben Schwartz,Omar Benson Miller,Brandon Mychal Smith,Animation Action Science Fiction,rise of the teenage mutant ninja turtles: the movie,"Ben Schwartz Omar Benson Miller Brandon Mychal Smith Ant Ward, Andy Suriano Animation Action Science Fiction"
